NAME,TITLE,LINK,YEAR,CITATIONS,H_INDEX,I10_INDEX
Abdi Talib Abdalla,Humanization of Online Mathematics Questions Development and Logical Grading Techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kUE4mw4AAAAJ&sortby=pubdate&citation_for_view=kUE4mw4AAAAJ:NaGl4SEjCO4C,2023,170,6,4
Abdi Talib Abdalla,"Brain–computer interface: trend, challenges, and threats",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kUE4mw4AAAAJ&sortby=pubdate&citation_for_view=kUE4mw4AAAAJ:BqipwSGYUEgC,2023,170,6,4
Abdi Talib Abdalla,Modelling Prediction of Cities Real Estate Price Trend Using Recurrent Neural Network: A Case of Dar es Salaam City,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kUE4mw4AAAAJ&sortby=pubdate&citation_for_view=kUE4mw4AAAAJ:RGFaLdJalmkC,2023,170,6,4
Abdi Talib Abdalla,Digitisation of Classical Exercise Practices with STACK: Management of Large Mathematics Classes in Higher Education Institutions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kUE4mw4AAAAJ&sortby=pubdate&citation_for_view=kUE4mw4AAAAJ:GnPB-g6toBAC,2023,170,6,4
Abdi Talib Abdalla,Energy efficient phase interpolator based hybrid beamforming architecture for massive MIMO system,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kUE4mw4AAAAJ&sortby=pubdate&citation_for_view=kUE4mw4AAAAJ:O3NaXMp0MMsC,2023,170,6,4
Abdi Talib Abdalla,Smart Grid in Tanzania: Research Opportunities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kUE4mw4AAAAJ&sortby=pubdate&citation_for_view=kUE4mw4AAAAJ:YFjsv_pBGBYC,2023,170,6,4
Abdi Talib Abdalla,Through-The-Wall Radar Imaging-Ghost Suppression with Compressive Sensing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kUE4mw4AAAAJ&sortby=pubdate&citation_for_view=kUE4mw4AAAAJ:blknAaTinKkC,2023,170,6,4
Abdi Talib Abdalla,Effective path-loss compensation model based on multipath exploitation for through-the-wall radar imaging,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kUE4mw4AAAAJ&sortby=pubdate&citation_for_view=kUE4mw4AAAAJ:k_IJM867U9cC,2023,170,6,4
Abdi Talib Abdalla,Cognitive internet of things-based framework for efficient consumption of electrical energy in public higher learning institutions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kUE4mw4AAAAJ&sortby=pubdate&citation_for_view=kUE4mw4AAAAJ:isC4tDSrTZIC,2023,170,6,4
Abdi Talib Abdalla,Dynamic multi-frame multi-spreading factor scheduling algorithm for LoRaWAN,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kUE4mw4AAAAJ&sortby=pubdate&citation_for_view=kUE4mw4AAAAJ:bEWYMUwI8FkC,2023,170,6,4
Abdi Talib Abdalla,Indoor positioning using circle expansion-based adaptive trilateration algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kUE4mw4AAAAJ&sortby=pubdate&citation_for_view=kUE4mw4AAAAJ:iH-uZ7U-co4C,2023,170,6,4
Abdi Talib Abdalla,Smart Fishing Gear to Enhance the Blue Economy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kUE4mw4AAAAJ&sortby=pubdate&citation_for_view=kUE4mw4AAAAJ:ns9cj8rnVeAC,2023,170,6,4
Alfred John Mwambela,Evaluation of Image Enhancement Techniques for Electrical Capacitance Tomography Applications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmr8IcwAAAAJ&sortby=pubdate&citation_for_view=Jmr8IcwAAAAJ:z_wVstp3MssC,2023,,,
Alfred John Mwambela,Dynamic multi-frame multi-spreading factor scheduling algorithm for LoRaWAN,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmr8IcwAAAAJ&sortby=pubdate&citation_for_view=Jmr8IcwAAAAJ:VLnqNzywnoUC,2023,,,
Ally Tahir Bitebo,Digitalization of Tanzania Health Care Services: Telemedicine Infrastructures to Link Rural and Urban Areas,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sYD_UTUAAAAJ&sortby=pubdate&citation_for_view=sYD_UTUAAAAJ:Y0pCki6q_DkC,2023,,,
Ally Tahir Bitebo,"The development of a digital NGO mapping platform in Tanzania, as a tool to strengthen civil society engagement, in pursuit of Universal Health Coverage",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sYD_UTUAAAAJ&sortby=pubdate&citation_for_view=sYD_UTUAAAAJ:W7OEmFMy1HYC,2023,,,
Aron Wajanga Kondoro,Using Mentimeter to Enhance Students’ Engagement in Large University Classes-A Survey of Students’ Perceptions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=muWCiTUAAAAJ&sortby=pubdate&citation_for_view=muWCiTUAAAAJ:maZDTaKrznsC,2023,,,
Aron Wajanga Kondoro,Towards Improving the Accessibility and Usability of a Mobile-based Learning Management System for Blind Primary School Teachers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=muWCiTUAAAAJ&sortby=pubdate&citation_for_view=muWCiTUAAAAJ:k_IJM867U9cC,2023,,,
Aron Wajanga Kondoro,Blockchain-Based Authentication Scheme for Collaborative Traffic Light Systems Using Fog Computing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=muWCiTUAAAAJ&sortby=pubdate&citation_for_view=muWCiTUAAAAJ:4JMBOYKVnBMC,2023,,,
